,Company,Job,Location,Salary,Sponsored
0,"
    LENA Research Foundation",Sr. Research Engineer: Machine Learning and Computational Li...,"Boulder, CO",,True
1,"

    Alteryx, Inc.","Product Manager, Advanced Analytics","Broomfield, CO",,True
2,"

    CyberCoders",Data Scientist,"Boulder, CO",,True
3,"


    Navigant Consulting
",Research Analyst,"Boulder, CO",,False
4,"

    cliexa
",Data Scientist Intern,"Boulder, CO",,False
5,"


    University of Colorado
",Professional Research Asst,"Boulder, CO",,False
6,"

    Somalogic, Inc.
",Bioinformatics Assoc. II/Sr. Assoc./Analyst/Scientist,"Boulder, CO 80301",,False
7,"


    Oracle
","Senior Product Manager - Measurement, Oracle Data Cloud","Broomfield, CO",,False
8,"


    Ibotta
",Senior Data Scientist,"Denver, CO 80202 (Lodo area)",,False
9,"


    University of Colorado
",Research Associate,"Boulder, CO",,False
10,"


    Deloitte
",Big Data Senior Consultant,"Denver, CO 80203 (Capitol Hill area)",,False
11,"


    Deloitte
",Big Data Manager,"Denver, CO 80203 (Capitol Hill area)",,False
12,"


    Planet Pharma
",Statistical Programmer,"Denver, CO",,False
13,"
    Specialty Chemicals",Research Scientist,"Denver, CO",,True
14,"
    Eventus Solutions Group",Junior Data Scientist,"Englewood, CO",,True
15,"
    Eventus Solutions Group",Junior Data Scientist,"Englewood, CO",,True
16,"

    Alteryx, Inc.","Product Manager, Advanced Analytics","Broomfield, CO",,True
17,"
    Specialty Chemicals",Research Scientist,"Denver, CO",,True
18,"


    Ball Aerospace
",Administrative Associate II - National Defense (659189),"Broomfield, CO",,False
19,"

    Corgenix, Inc
",Postdoctoral Fellow - Assay Development,"Broomfield, CO 80020",,False
20,"


    UCAR
",Engineer II,"Broomfield, CO",,False
21,"

    Specialty Chemicals
",Research Scientist,"Denver, CO",,False
22,"


    IMM
",Software Engineer ? Big Data,"Boulder, CO 80302",,False
23,"


    Archer
",Software Engineer,"Boulder, CO",,False
24,"


    Southwest Research Institute
",SR. RESEARCH SCIENTIST - HELIOPHYSICS,"Boulder, CO",,False
25,"


    OnDeck
",Business Intelligence Analyst,"Denver, CO",,False
26,"

    Stanley Brothers Social Enterprises
",Research and Development Scientist,"Boulder, CO 80301",,False
27,"


    Department Of The Interior
","Statistician, GS-1530-12 (DEU-PERM-DS)","Lakewood, CO","[<nobr>$76,341 - $99,243 a year</nobr>]",False
28,"

    CyberCoders",Data Scientist,"Boulder, CO",,True
29,"
    LENA Research Foundation",Sr. Research Engineer: Machine Learning and Computational Li...,"Boulder, CO",,True
30,"

    Alteryx, Inc.","Product Manager, Advanced Analytics","Broomfield, CO",,True
31,"

    CyberCoders",Data Scientist,"Boulder, CO",,True
32,"


    KPMG
",Data Scientist / Machine Learning - Sr. Associate,"Denver, CO 80202 (Lodo area)",,False
33,"

    Galvanize
","Lead Instructor, Principal Data Scientist","Denver, CO",,False
